Questions	OptionA	OptionB	OptionC	OptionD	OptionE	Answer	Source
Some would say Muzak is a(n) ______ form of music, a kind ofbackground noise designed to be heard but not listened to.	arable	degenerate	volatile	pivotal	exemplary	Degenerate	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The teacher was dismissed for the ______ act of helping hisstudents cheat on the exam.	steadfast	meritorious	unconscionable	pristine	fortuitous	Unconscionable	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The reformed criminal could not forget his guilty past; he was in aliving state of ______.	perdition	tact	composure	principle	veracity	Perdition	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ yoga instructor waited patiently for her students tofind the proper pose, which she performed with ease.	unabashed	lissome	cosmopolitan	sneering	disparaging	Lissome	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
When we first meet Romeo, he is ______ over his unrequited lovefor Rosaline.	brooding	ogling	meandering	embellishing	groveling	brood	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Because it had been worn and washed so often, Linus's favorite t-shirt was tattered and ______ with holes.	salvaged	circulated	riddled	emulated	congregated	riddle	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Henley's ______ remarks about my presentation did not bother mebecause I knew I'd done a good job.	derogatory	voracious	tactile	capricious	amiable	Derogatory	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Eels swim using a rapid ______ motion that propels them throughthe water.	dissipating	undulating	eradicating	objurgating	irritating	Undulating	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Sick and tired of her boring job, Cecilia began to ______ what itwould be like to quit.	ponder	disengage	negate	relinquish	alleviate	ponder	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The way my father likes to ______ with any salesperson to see if hecan bargain for a lower price is embarrassing.	striate	variegate	capitulate	teem	wrangle	wrangle	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ construction crew built large new buildings all over theEast Coast, wherever the demand for qualified workers took them.	laconic	irresolute	itinerant	parietal	peremptory	Itinerant	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The CEO's large expense accounts proved she was a ______ spender with the company's money.	injurious	ineffectual	liberal	malignant	insolvent	Liberal	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Daniela found the unchanging rhythm of the musical piece to beannoyingly ______.	recusant	monotonous	irreverent	coherent	redolent	Monotonous	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The young, thin boy surprised his wrestling opponent with his______ strength.	fraudulent	wiry	frolicsome	pretentious	endemic	Wiry	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The new actress's talents were severely ______ by the local critics;she went on to be a distinguished member of a well-respectedacting company.	underrated	berated	placated	dissuaded	interred	Underrated	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
To hide his insecurity, Barton often acted like a ______ so that hecould make people laugh.	buffoon	martyr	neophyte	plebian	wraith	buffoon	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
When Arnold's grandmother began to complain about theexcruciating pain in her knees and legs, she was referred to an______ specialist for a diagnosis.	optical	oral	archeological	osteopathic	psychological	Osteopathic	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Charlie's ______ behavior made it clear that he had been highlyeducated in matters of etiquette.	decorous	surreptitious	erratic	caustic	irksome	Decorous	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Staring at the ______ crystal blue water of the sea, Eileen thoughtshe had never seen anything so beautiful.	flamboyant	appalling	devious	pristine	fiery	Pristine	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Wearing the designer's latest fashions, the ______ clothing modelsashayed down the runway.	jaunty	tranquil	fanatical	recessive	contemplative	Jaunty	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Given his ______ nature, it was appropriate that he decided to be atrial lawyer after law school.	lackluster	engrossed	penitent	litigious	obsolete	Litigious	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
After her relationship ended, Patty, feeling ______, insisted onplaying sad love songs repeatedly.	infallible	plausible	formative	mawkish	persuasive	Mawkish	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Sanji went abroad as a ______ young man; when he returned twoyears later, he seemed like an experienced man of the world.	sardonic	egalitarian	reticent	callow	loquacious	Callow	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Normally distinguished and reserved, Robert would act ______ when he joined his friends to cheer for their old high school teamat annual the homecoming game.	indignant	oafish	poignant	reputable	obdurate	Oafish	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The protesters were concerned that the proposed legislation wouldhave a(n) ______ effect on the state's nature preserves.	scintillating	deleterious	insipid	punctilious	parsimonious	Deleterious	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Not swayed by his student's ______ flattery, the professor told himthat his grade would not be changed.	forlorn	striated	undulating	unctuous	frowsy	Unctuous	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Tonya found Isaac's public declarations of his love for her ______ and embarrassing.	necrotic	intriguing	witless	malodorous	pliant	Witless	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The young kitten had a ______ look on its face when it noticed themenacing dog entering the yard.	servile	diligent	scornful	pavid	optimistic	Pavid	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
According to pirate lore, a terrible ______ would follow whoeveropened the treasure chest.	precursor	precession	rendition	insurgence	malediction	Malediction	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
A(n) ______ spirit only causes more stress and strife; it is better toforgive and forget.	apathetic	restorative	flaccid	vindictive	fortuitous	Vindictive	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
When we were renovating the old house, we found a(n) ______ of$10 and $20 bills hidden inside the old laundry chute.	odyssey	matrix	lament	fodder	cache	cache	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Even though the pilot promised it was safe, Neil was ______ to flyduring a snowstorm.	habitual	overzealous	pavid	reluctant	salacious	Reluctant	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Ron has few friends because he is ______ and cares only abouthimself.	mundane	intrepid	garrulous	voracious	egocentric	Egocentric	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The workers attempted to ______ the supervisor's authority bynegotiating terms with the clients themselves.	contradict	instigate	resonate	placate	undermine	undermine	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The student failed his research paper because he chose to ______ material from a another author's work.	authorize	stimulate	overrule	plagiarize	meditate	plagiarize	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The ______ old cowboy had a complexion that spoke of manyyears in the desert sun, rounding up wild horses.	secular	suave	turgid	wizened	truant	Wizened	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The swimmer's back injury ______ his prospects for a gold medalat the world championship competition.	compelled	advanced	jeopardized	maintained	expounded	Jeopardize	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
As Ramiro strolled through his old neighborhood, he noticedsounds and smells that were ______ of his childhood.	belligerent	malleable	reminiscent	recondite	incessant	Reminiscent	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Lynette had to learn the ______ of the insurance profession beforeshe felt comfortable describing products to her clients.	lexicon	classicism	juncture	cessation	asperity	Lexicon	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Marta had to pay off her ______ to the credit card company beforeshe could get a mortgage.	stipend	liability	remuneration	concession	consolidation	Liability	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The local high school issued a ______ on field trips until the buswas repaired; then traveling could begin again.	indispensability	divergence	moratorium	subjection	compulsion	Moratorium	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
With Justine's ______ nature and passion for art, she would makean excellent tour guide for the museum.	volatile	congenial	servile	fledgling	trite	Congenial	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Patrice was a(n) ______ girl when she was teenager-long-limbedand constantly tripping over her own feet.	blithe	resolute	ungainly	preternatural	conducive	Ungainly	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The employee's claim of being out with the flu did not seem very______ because he returned from sick leave with a deep tan.	inattentive	inarticulate	tactful	plausible	vulnerable	Plausible	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The con man used his ______ to convince the elderly woman tosign over her life savings to him.	estuary	melee	flagrancy	malleability	wile	Wile	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Mike proved to be ______ throw after throw, hitting the carnivaldart game's bull's eye every time.	sedentary	temporal	mediocre	infallible	infeasible	Infallible	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Patrick, who was always joking, added ______ to the formal dinner,which his sedate employer did not appreciate.	contemplation	ordinance	tutelage	levity	sincerity	Levity	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Sunlight shining through a window was an obvious ______ in thenearly every one of the artist's works.	disjunction	hindrance	repugnance	motif	variance	Motif	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
I like listening to Wesley go on about politics and social issues; hisopinions are ______ with my own beliefs.	latent	explicit	consonant	ensconced	rife	Consonant	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Most people will find the film silly and childish in its humor; themost ______ viewers will find it downright crass and offensive.	servile	petulant	fastidious	arcane	boisterous	Fastidious	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Even though he wanted to win the game, the coach felt that hewould be ______ if he let the injured quarterback continue to play.	contentious	remiss	erudite	stringent	reputable	Remiss	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The goal of any company is to have its product name become______-constantly at the forefront of the consumer's mind.	garrulous	unctuous	tremulous	ubiquitous	portentous	Ubiquitous	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
During the holiday season, the ______ theme is "Peace on Earth,Goodwill Toward All."	mitigated	arrogant	controversial	prevalent	prestigious	Prevalent	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Our cottage by the sea offers many days of relaxation with warmsunshine and soothing ______.	zephyrs	dervishes	stanchions	ebbs	torques	zephyr	http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
When Melinda arrived in the impoverished city, she wasimmediately ______ by bands of children begging for food.	bedraggled	accosted	infiltrated	rebuked	exacerbated		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
According to the terms of the agreement, if Nicole defaulted onher loan, she would have to ______ her house and car, both whichwould become property of the bank.	usurp	evince	debut	forfeit	stigmatize		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Tony was tired of roommate's petty ______ about his personal life,so he moved out.	appeasements	quips	quotas	rallies	iniquities		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The food at the buffet table was a ______ array of delights thateven the most disciplined dieter would find difficult to resist.	tempestuous	tantamount	truculent	temporal	tantalizing		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
After fighting the five-alarm fire, the ______ firefighter could notrelax enough to unwind and get some rest.	amicable	treacherous	pliable	durable	overwrought		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
For years Henry bore the ______ of being the only man in fivegenerations of his family not to make the varsity baseball team.	stigma	brunt	treatise	scintillation	punctiliousness		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Tabitha found an overpriced dining table at the antique shop andtried to ______ with the shopkeeper, but he refused to lower theprice.	haggle	stipulate	annunciate	ruminate	confer		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The firefighter was ______ in the news for his heroic rescue of achild from a burning house.	mandated	inferred	reconstituted	augmented	lauded		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Although she was on a diet, Hannah intended to ______ in thefeast of Thanksgiving.	dilate	enervate	expunge	nullify	partake		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The villagers locked their doors when they heard about the pirateswho were ______ unprotected villages along the island's coastline.	reforming	marauding	reclaiming	conceding	recapitulating		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
I could tell by Angelica's ______ tone that she was still very angrywith me.	ingratiating	adjacent	oblique	acerbic	eloquent		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
After years of living at a(n) ______ pace, Paola decided it was timeto slow down and learn how to relax.	frenetic	pedestrian	pretentious	colloquial	insipid		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The hospital had an outbreak of chicken pox and was forced to______ all patients and staff to prevent more infected victims.	clandestine	saturate	germinate	quarantine	aggregate		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Living on several acres of land dotted with oak and maple treesmakes autumn leaf-raking a ______ task.	fatuous	toilsome	tardy	obsequious	fawning		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Acting in the high school play served to ______ Ander's appetitefor professional acting.	satiate	whet	purport	incriminate	corral		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
It would take many hours of cleaning and repairing for the youngfamily to transform the ______ into a clean and comfortable littlecottage.	territory	manor	hovel	demesne	hacienda		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Ms. Lu allowed her son a great deal of ______ in spending hisbirthday money, because she believed it should be his decision.	injunction	assimilation	latitude	declamation	stimulus		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
It was once believed that alchemists could ______ common metalsto gold.	transmute	commute	execute	repute	denote		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The close-up of the actor drinking the popular brand of cola in themovie was a ______ display of commercialism.	dispassionate	languid	apathetic	gratuitous	unpunctual		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Juneod was ______ after his alibi proved that he could not havecommitted the crime.	acquitted	protracted	derided	denounced	acquainted		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
This summer's movies are ______ for audiences of escape-the-heatmindless entertainment-not one film offers a substantive or evenplausible plot.	privation	dulcet	jargon	fodder	germane		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The dictator used propaganda and intimidation to ______ therevolution.	prelude	intimate	congregate	irradiate	quell		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Standing on the ______, the preacher greeted the parishionersevery Sunday morning.	steeple	pillar	parvis	manifestation	sensor		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Simona's ______ with her money caught up with her when shedidn't have the resources to buy a badly needed new car.	miserliness	thriftiness	wantonness	intuition	predilection		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The architect designed the ceiling using wood ______ that wouldremain uncovered, creating a rustic ambience in the living room.	pediments	joists	mullions	banisters	abutments		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
When the house on the corner burned down, the entireneighborhood ______ together to help to the victims re-establishtheir lives.	rallied	recited	skulked	disintegrated	expedited		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The massage therapist's ______ fingers quickly eased the tension inBlanche's back.	deft	furtive	listless	tentative	blithe		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Jade's parents were in ______ about the decision not to allow herto drive the family car to the prom; they both agreed that it wouldbe unsafe.	affluence	redress	refraction	discord	unison		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
As she walked through the halls of her old grade school, Madelinebecame ______, remembering her old friends and teachers.	prolific	nostalgic	credulous	precocious	ambitious		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
After being cleared of all charges for slander, the attorney was ableto go back to work and ______ his role as a prosecutor.	inhibit	reprimand	remand	resume	dissipate		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Ignacio's pain was so ______ that he called 911.							http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The captain ______ the cargo to keep his ship afloat.							http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The teacher tried to ______ her class of their dependence on thenumber lines pasted to the tops of their desks.	wane	wax	whet	wean	wield		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The young girl was so full of enthusiasm and ______ that sheinfected the room with energy.	languidness	apathy	vivacity	blandness	tenacity		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Ricky is a ______ of the local coffee shop; you can find him therejust about every morning.	diva	relic	denizen	maverick	pariah		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The child danced with ______ joy at hearing the news that herfather had arrived home from his lengthy business trip.	staid	unbridled	stealthy	beneficial	restrained		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Having never left the landlocked Midwest his entire life, Albertfound that swimming in the ocean was quite a(n) ______.	familiarity	extrovert	instinct	novelty	tabernacle		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The rowdy crowd at the music concert ______ Herve, and hespilled his soda on his pants.	jettisoned	harrowed	jostled	lauded	superceded		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Known for his strong command of the courtroom, it was commonknowledge that Judge Disantis considered outbursts fromdefendants to be ______.	questionable	objectionable	antisocial	pliable	visionary		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Blinded by ______, Nicholas accepted the job offer with thehighest pay but the least possibility of making him happy.	ennui	heresy	infamy	avarice	temperance		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
It was very unprofessional of you to ______ your assistant in frontof everyone at the meeting; she deserves more respect, and anycriticism of her performance should be done in private.	placate	augment	usurp	preclude	deride		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The log cabin had a(n) ______ feel, so it was often enjoyed byvacationers from the city throughout the year.	abstract	ersatz	rustic	raucous	repellent		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
We knew Jana had ______ motives for running for class president:She wanted the nearby parking space that came with the office.	anterior	interior	inferior	posterior	ulterior		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The town board heard many outraged and ______ arguments fromthe citizens against the destruction of some wooded areas in orderto build a new mall.	tenuous	vociferous	vacuous	satisfied	egregious		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The villainous gang's hideout was a den of ______ that no onewould dare to enter.	innocence	habitants	iniquity	accolades	innovation		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Indigestion is a common ______ of participating in a hot-dogeating contest.	euphemism	penchant	corollary	juxtaposition	itinerary		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Although it was so ridiculous that no one believed it to be true, thereporter's ______ still cost the governor his re-election.	hegemony	sedition	malaise	compendium	calumny		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
People on the street stopped to ______ over the artist's renditionof the Eiffel Tower, amazed by his ability to capture the detail.	bedazzle	innovate	gratify	counteract	objectify		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The veteran lieutenant was not happy with his ______ rank behindthe two inexperienced men.	tertiary	silly	unctuous	superior	fastened		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The prime minister was admired by all, a(n) ______ even in anenvironment of corruption and disdain.	admonishment	alleviation	nonpareil	prototype	profanation		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The queen's ______ fell ill during his journey and was unable tonegotiate on her behalf when he arrived at the economic summit.	penury	miscreant	emissary	denizen	zealot		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Tai was ______ by a series of setbacks that nearly made him misshis deadline.	ensconced	relegated	beleaguered	solicited	winnowed		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
New York boasts many ______ restaurants-places that are elegantand frequented by famous movie stars, political figures, and otherelite members of society.	pungent	posh	diminutive	mediocre	middling		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Patsy was shocked to discover how much higher her IQ was thanthe ______.	norm	stimulation	prudence	solitude	derivative		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Although she appeared confident, once she began her speech, thevaledictorian's ______ voice indicated her nervousness.	supercilious	resonant	tenuous	placating	tremulous		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Danielle cannot seem to find her niche in life; she has changed her______ at least three times in the past ten years.	automation	vocation	plethora	pliancy	combustion		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The discovery of the new element was ______; the scientist waslooking for something else.	insignificant	intrepid	eloquent	inadvertent	emollient		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
A charming painting of a pleasant ______ landscape hung aboveVitaly's fireplace, in marked contrast to the noise and lights of thebustling city outside his window.	nascent	histrionic	bucolic	indigenous	ersatz		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Aidan, who has always been painfully shy, was very ______ by thenews that he would have to do a presentation in front of hisclassmates.	discomfited	circumvented	relegated	promulgated	castigated		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Since his parents had little money, Peter was ______ to his unclefor paying for his college education.	alleged	provided	obliged	demented	fortified		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
With great ______, we stepped gingerly onto the planks of thedilapidated bridge that spanned a rocky stream twenty feet below.	trepidation	instigation	perdition	refraction	endowment		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
At the risk of sounding like an ______, the teacher assigned extrahomework for the weekend.	oaf	ogre	impost	alcove	anathema		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Felix felt that his mother's request to run her errands was a huge______ since he would have rather watched a soccer match with hisfriends that afternoon.	justification	imposition	preponderance	deviation	recourse		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The paper was ______ so that it could be easily removed from thebound notebook.	voracious	infectious	fickle	perforated	fluent		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The mad scientist ______ the potion with acid, making it not onlyuseless, but also dangerous.	corrugated	vitiated	implemented	instigated	titillated		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Jayne's paintings were not minimalist, but they were ______, usingonly the most elemental and essential elements.	elliptical	truculent	pernicious	perfunctory	abstemious		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Wendell's prolonged illness was the ______ that ignited his interestin science and led to his illustrious career in medical research.	hyperbole	catalyst	penchant	insolence	caveat		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Stopping to admire the ______ in the front yard, the young womancontinued on with her gardening duties.	paradigm	compost	clutter	oleander	patagium		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The river, ______ with new-fallen rain, overflowed its banks andflooded the tiny village in a matter of hours.	placated	turgid	redundant	equivalent	quarantined		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
In a(n) ______ expression of pleasure, the infant clapped her handsand squealed with joy.	overt	obligatory	illusive	peremptory	turbulent		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Paula's ______ humor does not amuse many people; rather manyfind it offensive and hurtful.	nebulous	truncated	stoic	vitriolic	flirtatious		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The play's ______ debut was not a good sign for the strugglingproducer.	unsubstantial	inauspicious	copious	disembodied	immaterial		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
At one time it was in ______ for women to wear gloves and hatswhenever they were out in public.	gore	gauge	vogue	brawn	vain		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
To ensure that Brenda wouldn't know where we were going for herbirthday, I took the most ______ route I could think of.	ardent	craven	enigmatic	circuitous	mercurial		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The editorial was essentially a(n) ______ to the governor, praisingher for her enactment of a series of environmental laws and forbalancing the state budget for the first time in 20 years.	juggernaut	imprecation	cabal	oeuvre	encomium		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Claude felt particularly ______ as he carried the large satchel filledwith cash through the dark streets to the bank.	inclusive	vulnerable	reclusive	unwieldy	torrential		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Niall's ______ attitude toward the boss is embarrassing; he doesnearly everything for him except scratch his nose!	subservient	subversive	subtle	sundry	surly		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Although she was a successful professional, Debra's inability toaccurately complete her taxes made her feel a bit ______.	endowed	rapturous	ravenous	obtuse	elated		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Jeremy didn't want to appear ______, but his brothers simply couldnot convince him to change his mind.	pitiful	scrupulous	harmonious	obstinate	unabated		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Buying homeowner's insurance is a wise decision because itprovides ______ if your house should be damaged in a fire.	chastisement	indemnity	clarification	resolution	annulment		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Although it was supposed to be written for the general public, thereport was so ______ that only those with inside knowledge ofgovernment workings could understand it.	indigenous	ebullient	truculent	pugnacious	esoteric		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Todd set up a rope to ______ the part of the exhibit that was off-limits.	circumscribe	laud	efface	undulate	beguile		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The loud clap of thunder caused the little dog to ______ all over.							http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Francois fell into a groggy ______ after having suffered a highfever for several days.	profundity	sluggard	verve	stupor	grovel		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Blaine had a tendency to ______ certain details of his evenings outwhen he didn't want his parents to know where he had been.	excel	oscillate	corroborate	juxtapose	omit		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
We took pity on the young ______ and brought him to a shelterwhere he could find food and warmth.	waif	perfidy	ionic	plaintiff	troubadour		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The fire caused ______ damage to the warehouse, which forced theowner to demolish the building.	sanctified	equitable	preliminary	irreparable	pretentious		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
When people are in love, they may find their beloved's ______-often annoying to or disparaged by others-to be charming andendearing.	foibles	mendacity	ennui	aplomb	penchants		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Terreh was able to ______ the traffic jam by taking a series of one-way streets that led to the bridge.	staunch	diffuse	corroborate	circumvent	juxtapose		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
The risk of cheating on the test was not worth the possible ______ of failing the class.	specification	gratification	ramification	narcissism	renegade		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
We found that the gallons of water we had brought on our hikewere ______, and we had to carry the extra bottles home.	superannuated	extraordinary	derivative	superfluous	untenable		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Moving all the heavy cinder blocks by hand from the driveway tothe backyard seemed like a(n) ______ task.	precipitous	poignant	onerous	salient	gallant		http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Claudia's ______ face gave no clue to her hard, cold heart.							http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
Keeping hot peppers in the olive oil ______ it with a spicy kick.							http://misd.net/languageart/GrammarInAction/501SentenceCompQuestions.pdf
